program_id	GO_BP	synGO	LoF
92	GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION (2.22e-02) | GOBP_ACTIN_FILAMENT_ORGANIZATION (6.59e-02) | GOBP_DETOXIFICATION (9.60e-02) | GOBP_DETOXIFICATION_OF_COPPER_ION (9.60e-02) | GOBP_RESPONSE_TO_TOXIC_SUBSTANCE (1.69e-01)	regulation of modification of postsynaptic structure (GO:0099159) (7.12e-02)	NF1 (1.65); XPO7 (1.76)
93	 ()	 ()	TRIO (5.51)
94	 ()	structural constituent of postsynaptic density (GO:0098919) (3.29e-02)	GRIN2A (4.32)
95	GOBP_CYTOPLASMIC_TRANSLATION (3.99e-14) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (4.05e-14) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (9.70e-13) | GOBP_MYOBLAST_FUSION (1.39e-10) | GOBP_SYNCYTIUM_FORMATION (7.00e-10)	postsynaptic ribosome (5.87e-15) | presynaptic ribosome (5.87e-15) | translation at presynapse (GO:0140236) (5.87e-15) | translation at postsynapse (GO:0140242) (5.95e-15) | synapse (GO:0045202) (4.91e-09)	HCN4 (2.76)
96	GOBP_OOGENESIS (1.49e-02) | GOBP_OOCYTE_DIFFERENTIATION (2.83e-02) | GOBP_FEMALE_GAMETE_GENERATION (1.35e-01)	presynaptic active zone cytoplasmic component (GO:0098831) (1.31e-01) | anterograde dendritic transport (GO:0098937) (1.77e-01) | presynaptic modulation of chemical synaptic transmission (GO:0099171) (1.77e-01) | postsynaptic density, intracellular component (GO:0099092) (1.77e-01) | synaptic vesicle clustering (GO:0097091) (1.77e-01)	BRSK2 (6.20)
97	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (3.01e-11) | GOBP_OXIDATIVE_PHOSPHORYLATION (9.84e-11) | GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN (2.50e-10) | GOBP_ELECTRON_TRANSPORT_CHAIN (6.46e-10) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (2.86e-09)	postsynaptic ribosome (6.04e-11) | presynaptic ribosome (6.04e-11) | translation at presynapse (GO:0140236) (6.04e-11) | translation at postsynapse (GO:0140242) (6.04e-11) | synapse (GO:0045202) (2.78e-05)	DYNC1H1 (2.33); KDM6B (1.47); TLK2 (1.75)
98	 ()	calcium-dependent activation of synaptic vesicle fusion (GO:0099502) (1.04e-01) | presynaptic actin cytoskeleton organization (GO:0099140) (1.04e-01) | presynaptic endocytosis (GO:0140238) (1.04e-01) | postsynaptic cytosol (GO:0099524) (1.04e-01) | presynaptic cytosol (GO:0099523) (1.04e-01)	DNMT3A (3.72); EBF3 (2.11); SCN1A (1.69)
99	 ()	 ()	SETD1A (5.92)
100	 ()	 ()	SCN2A (1.61)
101	GOBP_NEUROGENESIS (6.65e-04) | GOBP_GENERATION_OF_NEURONS (3.63e-03) | GOBP_REGULATION_OF_NEUROGENESIS (2.45e-02) | GOBP_INTERLEUKIN_11_MEDIATED_SIGNALING_PATHWAY (7.19e-02) | GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT (7.19e-02)	 ()	DDX3X (2.41); KDM6B (1.45); MED13 (1.51); MEIS2 (1.64); NIPBL (3.04); WAC (1.81)
102	GOBP_CYTOPLASMIC_TRANSLATION (7.81e-17) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (1.96e-11) | GOBP_TRANSLATION (2.05e-10) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (2.05e-10) | GOBP_MYOBLAST_FUSION (1.45e-08)	postsynaptic ribosome (4.31e-19) | presynaptic ribosome (4.31e-19) | translation at presynapse (GO:0140236) (4.31e-19) | translation at postsynapse (GO:0140242) (4.60e-19) | synapse (GO:0045202) (3.38e-11)	AKAP11 (3.62); SATB2 (1.82); SETD1A (2.97); TCF7L2 (1.83)
103	GOBP_MACROPHAGE_APOPTOTIC_PROCESS (1.38e-01) | GOBP_NEGATIVE_REGULATION_OF_CATECHOLAMINE_SECRETION (1.38e-01) | GOBP_CAMP_BIOSYNTHETIC_PROCESS (1.38e-01) | GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT (1.38e-01) | GOBP_PURINE_NUCLEOTIDE_TRANSPORT (1.38e-01)	 ()	HCN4 (3.53)
104	 ()	 ()	KMT2C (5.33)
105	 ()	synaptic cleft (GO:0043083) (1.19e-01) | ligand-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507) (1.19e-01) | extracellular matrix of synaptic cleft (GO:0098965) (1.92e-01)	CUL3 (4.94)
106	GOBP_ENDOLYSOSOMAL_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY (7.35e-02) | GOBP_CHOLESTEROL_BIOSYNTHETIC_PROCESS_VIA_DESMOSTEROL (7.39e-02) | GOBP_PORE_COMPLEX_ASSEMBLY (7.39e-02) | GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM (8.77e-02) | GOBP_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY (8.77e-02)	integral component of postsynaptic density membrane (GO:0099061) (6.07e-02) | transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315) (6.07e-02) | integral component of postsynaptic specialization membrane (GO:0099060) (6.07e-02) | integral component of presynaptic active zone membrane (GO:0099059) (6.07e-02) | regulation of neurotransmitter uptake (GO:0051580) (6.07e-02)	AKAP11 (-2.08); ANKRD11 (-2.91); ASH1L (-2.37); CACNA1G (-3.03); CHD8 (-3.04); CUL1 (-2.90); DLL1 (-2.47); GABRA1 (-3.03); GRIA3 (-2.98); HCN4 (-2.95); KDM6B (-3.00); KMT2C (-2.87); RB1CC1 (-2.84); SETD1A (-2.78); SHANK3 (-2.99); SP4 (-1.95); TRIO (-2.89); XPO7 (-2.72)
107	 ()	 ()	GABRA1 (1.67); XPO7 (2.31)
